bucket,query_value,actual_frequency,estimated_frequency,selectivity_error
3,288018,1.0,1.0,0.0
3,289220,1.0,1.0,0.0
3,289995,1.0,1.0,0.0
3,290684,1.0,1.0,0.0
3,290757,1.0,1.0,0.0
3,291984,1.0,1.0,0.0
3,292586,1.0,1.0,0.0
3,292815,1.0,1.0,0.0
3,293293,1.0,1.0,0.0
3,295345,1.0,1.0,0.0
3,295482,1.0,1.0,0.0
3,296963,1.0,1.0,0.0
3,297764,1.0,1.0,0.0
3,298162,1.0,1.0,0.0
3,298551,1.0,1.0,0.0
3,299375,1.0,1.0,0.0
3,299575,1.0,1.0,0.0
3,299765,1.0,1.0,0.0
3,299843,1.0,1.0,0.0
3,301370,1.0,1.0,0.0
3,302994,1.0,1.0,0.0
3,303164,1.0,1.0,0.0
3,304069,1.0,1.0,0.0
3,304899,1.0,1.0,0.0
3,305864,1.0,1.0,0.0
3,306611,1.0,1.0,0.0
3,306761,1.0,1.0,0.0
3,307141,1.0,1.0,0.0
3,307210,1.0,1.0,0.0
3,308013,1.0,1.0,0.0
3,308954,1.0,1.0,0.0
3,311604,1.0,1.0,0.0
3,313108,1.0,1.0,0.0
3,313624,1.0,1.0,0.0
3,313859,1.0,1.0,0.0
3,316246,1.0,1.0,0.0
3,316346,1.0,1.0,0.0
3,317400,1.0,1.0,0.0
3,317449,1.0,1.0,0.0
3,318050,1.0,1.0,0.0
3,318211,1.0,1.0,0.0
3,318415,1.0,1.0,0.0
3,319387,1.0,1.0,0.0
4,320450,1.0,1.0,0.0
4,320801,1.0,1.0,0.0
4,320840,1.0,1.0,0.0
4,320843,1.0,1.0,0.0
4,321963,1.0,1.0,0.0
4,322166,1.0,1.0,0.0
4,322741,1.0,1.0,0.0
4,323166,1.0,1.0,0.0
4,325287,1.0,1.0,0.0
4,325691,1.0,1.0,0.0
4,326216,1.0,1.0,0.0
4,328172,1.0,1.0,0.0
4,328892,1.0,1.0,0.0
4,328907,1.0,1.0,0.0
4,329522,1.0,1.0,0.0
4,329604,1.0,1.0,0.0
4,330586,1.0,1.0,0.0
4,331218,1.0,1.0,0.0
4,331377,1.0,1.0,0.0
4,332050,1.0,1.0,0.0
4,332550,1.0,1.0,0.0
4,332691,1.0,1.0,0.0
4,332890,1.0,1.0,0.0
4,333474,1.0,1.0,0.0
4,334268,1.0,1.0,0.0
4,335521,1.0,1.0,0.0
4,336271,1.0,1.0,0.0
